Run,TrajectoryPositionNoise,Protocol,Metric,Value
239,0,LW-Sync,Offset,133.849
239,0,LW-Sync,Skew,0.726029
241,0,LW-Sync,Offset,70.4021
241,0,LW-Sync,Skew,28.3474
240,0,LW-Sync,Offset,182.912
240,0,LW-Sync,Skew,6.6565
243,0,LW-Sync,Offset,112.029
243,0,LW-Sync,Skew,76.6556
242,0,LW-Sync,Offset,153.825
242,0,LW-Sync,Skew,8.15668
245,0,LW-Sync,Offset,210.425
245,0,LW-Sync,Skew,68.5852
244,0,LW-Sync,Offset,141.315
244,0,LW-Sync,Skew,14.9655
246,0,LW-Sync,Offset,128.425
246,0,LW-Sync,Skew,30.7867
247,0,LW-Sync,Offset,132.171
247,0,LW-Sync,Skew,39.0304
248,0,LW-Sync,Offset,166.289
248,0,LW-Sync,Skew,44.3099
249,0,LW-Sync,Offset,142.974
249,0,LW-Sync,Skew,29.4573
250,0,LW-Sync,Offset,165.411
250,0,LW-Sync,Skew,54.3487
251,0,LW-Sync,Offset,173.258
251,0,LW-Sync,Skew,67.3503
255,0,LW-Sync,Offset,153.378
255,0,LW-Sync,Skew,46.551
252,0,LW-Sync,Offset,151.92
252,0,LW-Sync,Skew,16.9101
254,0,LW-Sync,Offset,93.9632
254,0,LW-Sync,Skew,16.2147
253,0,LW-Sync,Offset,196.197
253,0,LW-Sync,Skew,89.2433
256,0,LW-Sync,Offset,143.567
256,0,LW-Sync,Skew,24.4676
257,0,LW-Sync,Offset,146.786
257,0,LW-Sync,Skew,36.3452
259,0,LW-Sync,Offset,133.653
259,0,LW-Sync,Skew,35.3742
258,0,LW-Sync,Offset,146.362
258,0,LW-Sync,Skew,7.66366
260,0,LW-Sync,Offset,151.912
260,0,LW-Sync,Skew,71.3224
261,0,LW-Sync,Offset,122.811
261,0,LW-Sync,Skew,12.8095
262,0,LW-Sync,Offset,156.492
262,0,LW-Sync,Skew,57.7439
263,0,LW-Sync,Offset,155.198
263,0,LW-Sync,Skew,13.9199
264,0,LW-Sync,Offset,143.988
264,0,LW-Sync,Skew,45.426
265,0,LW-Sync,Offset,155.925
265,0,LW-Sync,Skew,31.0049
266,0,LW-Sync,Offset,137.589
266,0,LW-Sync,Skew,53.8112
267,0,LW-Sync,Offset,145.066
267,0,LW-Sync,Skew,16.9708
268,0,LW-Sync,Offset,176.808
268,0,LW-Sync,Skew,30.1313
269,0,LW-Sync,Offset,145.271
269,0,LW-Sync,Skew,0.203548
270,0,LW-Sync,Offset,153.123
270,0,LW-Sync,Skew,10.1844
271,0,LW-Sync,Offset,106.278
271,0,LW-Sync,Skew,28.946
272,0,LW-Sync,Offset,144.647
272,0,LW-Sync,Skew,35.9612
273,0,LW-Sync,Offset,115.589
273,0,LW-Sync,Skew,46.9428
274,0,LW-Sync,Offset,119.358
274,0,LW-Sync,Skew,6.39266
275,0,LW-Sync,Offset,86.2786
275,0,LW-Sync,Skew,26.1452
276,0,LW-Sync,Offset,159.899
276,0,LW-Sync,Skew,25.919
277,0,LW-Sync,Offset,115.315
277,0,LW-Sync,Skew,57.4591
279,0,LW-Sync,Offset,120.074
279,0,LW-Sync,Skew,15.4627
278,0,LW-Sync,Offset,111.256
278,0,LW-Sync,Skew,53.377
280,0,LW-Sync,Offset,144.068
280,0,LW-Sync,Skew,19.831
281,0,LW-Sync,Offset,82.7916
281,0,LW-Sync,Skew,9.25522
282,0,LW-Sync,Offset,142.322
282,0,LW-Sync,Skew,16.4984
285,0,LW-Sync,Offset,119.331
285,0,LW-Sync,Skew,27.8211
283,0,LW-Sync,Offset,105.481
283,0,LW-Sync,Skew,80.0733
284,0,LW-Sync,Offset,131.644
284,0,LW-Sync,Skew,11.1524
286,0,LW-Sync,Offset,129.194
286,0,LW-Sync,Skew,65.7004
287,0,LW-Sync,Offset,130.573
287,0,LW-Sync,Skew,12.5292
288,0,LW-Sync,Offset,178.047
288,0,LW-Sync,Skew,11.1479
289,0,LW-Sync,Offset,179.929
289,0,LW-Sync,Skew,28.4556
290,0,LW-Sync,Offset,126.219
290,0,LW-Sync,Skew,46.631
292,0,LW-Sync,Offset,90.2838
292,0,LW-Sync,Skew,50.1577
291,0,LW-Sync,Offset,140.032
291,0,LW-Sync,Skew,25.9299
293,0,LW-Sync,Offset,163.946
293,0,LW-Sync,Skew,54.2039
294,0,LW-Sync,Offset,128.303
294,0,LW-Sync,Skew,47.8763
295,0,LW-Sync,Offset,127.471
295,0,LW-Sync,Skew,38.173
296,0,LW-Sync,Offset,150.626
296,0,LW-Sync,Skew,29.3892
298,0,LW-Sync,Offset,166.706
298,0,LW-Sync,Skew,63.4902
297,0,LW-Sync,Offset,157.645
297,0,LW-Sync,Skew,22.332
299,0,LW-Sync,Offset,75.2326
299,0,LW-Sync,Skew,16.5636
300,0,LW-Sync,Offset,143.586
300,0,LW-Sync,Skew,40.889
301,0,LW-Sync,Offset,123.112
301,0,LW-Sync,Skew,57.2836
302,0,LW-Sync,Offset,101.708
302,0,LW-Sync,Skew,14.2761
303,0,LW-Sync,Offset,154.131
